name,label
downloads/Arugula/Arugula 1.00385_01_arugula.jpg,Arugula
downloads/Arugula/Arugula 10.Lemony-Arugula-Salad-foodiecrush.com-008-500x500.jpg,Arugula
downloads/Arugula/Arugula 18.argula_salad.jpg,Arugula
downloads/Arugula/Arugula 13.Orzo-Arugula-Salad-with-Lemon-Basil-Vinaigrette.jpg,Arugula
downloads/Arugula/Arugula 12.7622i_L-Baby-Greens-Arugula-ORG.jpg,Arugula
downloads/Arugula/Arugula 14.A1LmeYn95GL._AC_SY355_.jpg,Arugula
downloads/Arugula/Arugula 11.arugulasalad_hotforfood_filtered1-e1529869003756-500x500.jpg,Arugula
downloads/Arugula/Arugula 16.Arugula-Pesto-with-Walnuts_04-500x500.jpg,Arugula
downloads/Arugula/Arugula 15.02891_01_arugulasalad.jpg,Arugula
downloads/Arugula/Arugula 17.ING-arugula-main.jpg,Arugula
downloads/Arugula/Arugula 19.wasabi-arugula-45-days-vegetables-pinetree-garden-seeds_942.jpg,Arugula
downloads/Arugula/Arugula 2.SVARU112-1_medium.jpg,Arugula
downloads/Arugula/Arugula 20.51-web-horizon.jpg,Arugula
downloads/Arugula/Arugula 21.arugula-salad-11-500x500.jpg,Arugula
downloads/Arugula/Arugula 29.Lemony-Avocado-Toast-with-Arugula-3-1.jpg,Arugula
downloads/Arugula/Arugula 3.3041i_Arugula-Rocket-Sal-ORG.jpg,Arugula
downloads/Arugula/Arugula 25.Arugula-Salad-part-of-bowl-dark.jpg,Arugula
downloads/Arugula/Arugula 23.Arugula-Pizzas-2-of-6-500x500.jpg,Arugula
downloads/Arugula/Arugula 27.tuscan-arugula-3.jpg,Arugula
downloads/Arugula/Arugula 22.wickedspatula-arugula-fennel-apple-salad-recipe-2-780x780.jpg,Arugula
downloads/Arugula/Arugula 26.mar-3-Baby-Arugula-and-Herb-Salad-with-Grilled-Figs-and-Halloumi-652x652.jpg,Arugula
downloads/Arugula/Arugula 24.LEA3-2018-1.jpg,Arugula
downloads/Arugula/Arugula 30.550-arugula-kale-gorgonzola-salad.jpg,Arugula
downloads/Arugula/Arugula 31.Five-MInute-Arugula-Fig-Salad-3-720x720.jpg,Arugula
downloads/Arugula/Arugula 28.Lemon-Arugula-Salad-with-Pine-Nuts-Image-6-720x720.jpg,Arugula
downloads/Arugula/Arugula 32.1550009243817.jpg,Arugula
downloads/Arugula/Arugula 33.crispy-roasted-potatoes-arugula-salad-featured-720x720.jpg,Arugula
downloads/Arugula/Arugula 34.0602-arugula-arugula-organic.jpg,Arugula
downloads/Arugula/Arugula 41.img58l.jpg,Arugula
downloads/Arugula/Arugula 42.03213_01_bellezia.jpg,Arugula
downloads/Arugula/Arugula 35.3029i_Arugula-Wild-Rocky-ORG.jpg,Arugula
downloads/Arugula/Arugula 37.Baby-green-salad-with-oranges-red-onion-gorgonzola-550x550.jpg,Arugula
downloads/Arugula/Arugula 39.arugula-pesto-pasta-1-4-720x720.jpg,Arugula
downloads/Arugula/Arugula 36.arugula-pear-salad-su.jpg,Arugula
downloads/Arugula/Arugula 38.Arugula-salad-lemon-chickpeas-web1-500x500.jpg,Arugula
downloads/Arugula/Arugula 43.arugula-prosciutto-pizza-1.jpg,Arugula
downloads/Arugula/Arugula 40.62297.jpg,Arugula
downloads/Arugula/Arugula 4.arugula-salad-3-500x500.jpg,Arugula
downloads/Arugula/Arugula 44.Arugula1_square.jpg,Arugula
downloads/Arugula/Arugula 45.Chipotle-Sweet-Potato-Arugula-Salad.jpg,Arugula
downloads/Arugula/Arugula 46.Wild-Rice-and-Arugula-Salad-7-500x500.jpg,Arugula
downloads/Arugula/Arugula 47.arugula-salad-su-1865413-x.jpg,Arugula
downloads/Arugula/Arugula 9.Arugula-Salad-square.jpg,Arugula
downloads/Arugula/Arugula 48.Arugula_and_Curr_53fce7dbd85d4.jpg,Arugula
downloads/Arugula/Arugula 50.94-web-horizon.jpg,Arugula
downloads/Arugula/Arugula 49.OrangeBeetArugulaSalad_166_xl.jpg,Arugula
downloads/Arugula/Arugula 5.square.jpg,Arugula
downloads/Arugula/Arugula 7.Arugula-Salad-+-My-Favorite-Balsamic-Vinaigrette-tasteslovely.com_1.jpg,Arugula
downloads/Arugula/Arugula 8.01935_2da04c99-8933-4fb5-9129-51ea9b7bb8f1_1024x1024.jpg,Arugula
downloads/Arugula/Arugula 6.IMG_5673-720x720.jpg,Arugula
downloads/Avocado/Avocado 11.677-2.jpg,Avocado
downloads/Avocado/Avocado 12.avocado-hass-1-400_grande.jpg,Avocado
downloads/Avocado/Avocado 13.lila-avocado-tree-2.jpg,Avocado
downloads/Avocado/Avocado 1.81LKLCmdAQL._SY355_.jpg,Avocado
downloads/Avocado/Avocado 10.avocado-stone-faces-jan-campbell-1.jpg,Avocado
downloads/Avocado/Avocado 14.Avocado-Lime-Sauce-4-725x725.jpg,Avocado
downloads/Avocado/Avocado 15.full-frame-shot-of-avocados-royalty-free-image-748496027-1551377103.jpg,Avocado
downloads/Avocado/Avocado 16.wholesomeyum-blt-stuffed-avocado-paleo-low-carb.jpg,Avocado
downloads/Avocado/Avocado 17.3O6A0345square.jpg,Avocado
downloads/Avocado/Avocado 24.Healthy-Avocado-Toast-with-Smoked-Salmon-square-735x735.jpg,Avocado
downloads/Avocado/Avocado 21.hair-mask-hero-720x720.jpg,Avocado
downloads/Avocado/Avocado 18.Caprese-Stuffed-Avocado-IMAGE-77-500x500.jpg,Avocado
downloads/Avocado/Avocado 19.FG-avocado-salad.jpg,Avocado
downloads/Avocado/Avocado 2.how-to-cut-an-avocado-12-1200-500x500.jpg,Avocado
downloads/Avocado/Avocado 20.avocado-hollandaise-7-1.jpg,Avocado
downloads/Avocado/Avocado 25.Baked-Eggs-in-AvocadoIMG_9953-360x360.jpg,Avocado
downloads/Avocado/Avocado 26.avocado-chicken-salad-wrap-480x480.jpg,Avocado
downloads/Avocado/Avocado 27.avocado-chicken-salad2-720x720.jpg,Avocado
downloads/Avocado/Avocado 22.DSC07548.jpg,Avocado
downloads/Avocado/Avocado 23.42844_1_640px.jpg,Avocado
downloads/Avocado/Avocado 28.California-Avocado-Salad_EXPS_THD18_183146_C08_01_5b-696x696.jpg,Avocado
downloads/Avocado/Avocado 3.image_898ed414-c391-4ada-a72d-e19689eed267_585x.jpg,Avocado
downloads/Avocado/Avocado 29.shrimp-tacos-avocado-mango-salsa-web-8-of-12-480x480.jpg,Avocado
downloads/Avocado/Avocado 36.Cucumber-Avocado-Salad-6.jpg,Avocado
downloads/Avocado/Avocado 33.Avocado-toast-02-720x720.jpg,Avocado
downloads/Avocado/Avocado 30.Avocado-Cauliflower-Rice-5-1-500x500.jpg,Avocado
downloads/Avocado/Avocado 35.Shrimp-Asparagus-and-Avocado-Salad-Recipe-500x500.jpg,Avocado
downloads/Avocado/Avocado 32.Avocado-Rose-FF2.jpg,Avocado
downloads/Avocado/Avocado 31.avocado-tuna-salad-in-white-bowl-long-A-500x500.jpg,Avocado
downloads/Avocado/Avocado 34.sliced-avocado-on-wood-royalty-free-image-553200709-1547061489.jpg,Avocado
downloads/Avocado/Avocado 37.blueberryquinoasalad-8-725x725.jpg,Avocado
downloads/Avocado/Avocado 38.Avocado-Egg-Salad-Toast_EXPS_SDJJ19_211990_B02_25_2b_rms-696x696.jpg,Avocado
downloads/Avocado/Avocado 39.Asparagus-Avocado-Salad-FI-e1545075229572.jpg,Avocado
downloads/Avocado/Avocado 4.toast-with-avocado-and-cress-royalty-free-image-544809990-1541541433.jpg,Avocado
downloads/Avocado/Avocado 48.Avocado-Ice-Cream-4-1-500x500.jpg,Avocado
downloads/Avocado/Avocado 40.Easy-Avocado-Salad-Recipe.jpg,Avocado
downloads/Avocado/Avocado 49.Avocado-and-Tomato-Salad-with-Lime-500x500.jpg,Avocado
downloads/Avocado/Avocado 43.Cucumber-Avocado-Salad-1-500x500.jpg,Avocado
downloads/Avocado/Avocado 47.avocado_400.jpg,Avocado
downloads/Avocado/Avocado 45.img54c.jpg,Avocado
downloads/Avocado/Avocado 41.avocado-cream-soup-2a-500x500.jpg,Avocado
downloads/Avocado/Avocado 44.Cucumber-Avocado-Salad-with-Tequila-Poppyseed-Vinaigrette-720x720.jpg,Avocado
downloads/Avocado/Avocado 42.Avocado-Popsicle-5-500x500.jpg,Avocado
downloads/Avocado/Avocado 46.Avocado-Coleslaw-Reshoot_IG-1.jpg,Avocado
downloads/Avocado/Avocado 50.avocado-cucumber-salad-2-500x500.jpg,Avocado
downloads/Avocado/Avocado 5.bacon-avocado-tree-600x600.jpg,Avocado
downloads/Avocado/Avocado 6.img25c.jpg,Avocado
downloads/Avocado/Avocado 7.A1V4TnEgMKL._SL1500_grande.jpg,Avocado
downloads/Avocado/Avocado 8.2019_12_1692516-copy_800x1200.jpg,Avocado
downloads/Avocado/Avocado 9.avocado-cuber-c.jpg,Avocado
downloads/Baby Carrot/Baby Carrot 15.copycat-recipe-cracker-barrel-baby-carrots-500x500.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 10.maple-glazed-baby-carrots-550.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 1.298-2.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 11.slow-cooker-sweet-glazed-carrots-5-500x500.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 16.Easy-Slow-Cooker-Baby-Carrots-Recipe-with-Honey-and-Brown-Sugar-Recipe-17.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 17.53518.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 12.IMG_8674edit-360x360.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 13.MADCAT_BABY_CARROT-CATNIP-CAT-TOY_1024x1024_990f220f-481e-41ec-90ba-3a1e9ad3f95c_grande.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 14.large_b25a6465-4887-413d-9577-2c628fc9999b.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 18.1664290.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 19.large_f0b8698f-8f4b-4b62-a8cf-23a160ec3aae.JPG,Baby Carrot
downloads/Baby Carrot/Baby Carrot 2.Carrots_Baby_Hero.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 27.IMG_0277.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 28.Easy-Roasted-Carrots-5-500x500.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 23.il_570xN.380525576_g7na.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 20.0126i_Carrot-Baby-Little-Finger.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 21.instant-pot-carrots-1-500x500.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 22.00033383666044_a1a3_900_900.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 24.cinnamon-roasted-baby-carrots_800x800.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 25.roasted-carrots-recipe-dill-side-dish-kenarry-5.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 26.719o8pFanCL._SX522_.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 29.crock-pot-carrots-square.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 3.Baby-Carrots-Logo-400x400.jpg,Baby Carrot
downloads/Baby Carrot/Baby Carrot 30.New-harvested-Chinese-fresh-baby-carrots-organic.jpg,Baby Carrot
